Filename,Height,Width,NumFrames,Framerate,MedianFrequencyVec,Major_q,Major_q_amplitude,Major_q_frequency,Major_q_damping,Major_q_offset,Major_q_gof
stabilized_rescale_crop_fps10_2022.08.01.Viikki.Fi_Barly_30feet_100000741585.mat,1024,1024,619,10,5.194805e-01,5,1.020861e+00,5.194805e-02,3.293672e-01,9.886862e-01,1.163396e-01
stabilized_rescale_crop_fps10_2022.08.01.Viikki.Fi_Barly_30feet_100000751586.mat,1024,1024,620,10,2.741935e-01,3,9.158842e-01,2.741935e-02,1.422680e-01,1.108730e+00,1.640637e-01
stabilized_rescale_crop_fps10_2022.08.01.Viikki.Fi_Barly_30feet_100000761587.mat,1024,1024,619,10,4.783503e-01,3,7.135973e-01,2.435065e-02,1.189606e-01,8.968309e-01,1.529740e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_100feet_100000981609.mat,1024,1024,589,10,2.380952e-01,1,6.555672e-01,2.380952e-02,1.138103e-01,8.665979e-01,6.264417e-02
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000781589.mat,1024,1024,617,10,1.724821e-01,1,8.220554e-01,4.870130e-03,3.791867e-02,1.521034e+00,3.923820e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000791590.mat,1024,1024,296,10,2.702703e-01,1,2.713796e+01,7.269777e-03,3.196283e-02,4.413345e+01,7.589074e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000801591.mat,1024,1024,621,10,8.064517e-02,1,2.593527e+00,8.064516e-03,2.229314e-01,3.535820e+00,2.194811e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000811592.mat,1024,1024,620,10,6.440804e-01,1,2.870763e+00,1.774194e-02,1.287445e-01,4.290087e+00,2.193255e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000821593.mat,1024,1024,619,10,2.435065e-01,1,1.819719e+00,2.435065e-02,1.460364e-01,2.564372e+00,2.985837e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000831594.mat,1024,1024,621,10,2.282734e-01,1,1.710172e+00,1.681573e-02,1.167568e-01,2.693528e+00,4.311249e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000841595.mat,1024,1024,625,10,1.210424e-01,1,1.699142e+00,1.121795e-02,1.687765e-01,2.466640e+00,2.705558e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000911602.mat,1024,1024,623,10,1.451614e-01,1,1.243946e+00,1.451613e-02,7.670701e-02,1.842464e+00,2.152374e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000921603.mat,1024,1024,621,10,2.903226e-01,1,6.448715e-01,2.903226e-02,8.970971e-02,9.030154e-01,6.534454e-02
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000941605.mat,1024,1024,621,10,2.580645e-01,1,1.266364e+00,2.580645e-02,1.140380e-01,1.781102e+00,1.455720e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_30feet_100000951606.mat,1024,1024,617,10,2.110390e-01,1,7.891016e-01,2.110390e-02,1.110127e-01,1.223870e+00,1.572416e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Barly_60feet_100000961607.mat,1024,1024,340,10,6.764706e-01,1,2.017861e+00,6.764706e-02,4.064765e-01,1.912385e+00,8.278079e-02
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Oat_30feet_100000851596.mat,1024,1024,620,10,2.741935e-01,1,3.048051e-01,2.741935e-02,1.813025e-01,4.034046e-01,3.066011e-02
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Oat_30feet_100000861597.mat,1024,1024,632,10,6.623833e-01,1,2.852925e-01,1.898734e-02,6.462738e-02,5.501978e-01,2.713945e-02
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Oat_30feet_100000871598.mat,1024,1024,780,10,2.672810e-01,1,1.809800e-01,1.407891e-02,1.171087e-01,3.274036e-01,1.451372e-02
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Oat_30feet_100000881599.mat,1024,1024,631,10,1.273885e-01,28,1.764505e-01,1.273885e-02,8.893319e-02,2.879792e-01,9.092987e-01
stabilized_rescale_crop_fps10_2022.08.02.Viikki.Fi_Oat_30feet_100000891600.mat,1024,1024,627,10,3.230228e-01,1,2.096866e-01,3.044872e-02,8.213112e-02,3.187777e-01,2.508796e-02
stabilized_rescale_crop_fps10_2022.08.03.Viikki.Fi_Barly_100feet_100001131624.mat,1024,1024,620,10,3.548387e-01,1,1.940306e-01,3.548387e-02,1.916828e-01,2.166822e-01,1.747180e-01
stabilized_rescale_crop_fps10_2022.08.03.Viikki.Fi_Barly_100feet_100001141625.mat,1024,1024,624,10,2.564103e-01,1,6.922183e-02,2.564103e-02,1.191871e-01,8.572787e-02,3.706988e-01
stabilized_rescale_crop_fps10_2022.08.03.Viikki.Fi_Barly_100feet_100001151626.mat,1024,1024,770,10,1.491806e-01,1,4.613543e-02,1.171875e-02,4.473858e-02,6.413224e-02,3.865065e-01
stabilized_rescale_crop_fps10_2022.08.03.Viikki.Fi_Barly_30feet_100001161627.mat,1024,1024,664,10,3.918328e-01,10,2.744009e-01,2.108434e-02,9.351091e-02,3.457770e-01,3.793597e-01
