Filename,Height,Width,NumFrames,Framerate,MedianFrequencyVec,Major_q,Major_q_amplitude,Major_q_frequency,Major_q_damping,Major_q_offset,Major_q_gof
compressed_fps10_WinterWheat1_2022-07-25-134313-0000.mat,1024,1024,149,10,6.756757e-01,39,6.898034e-03,6.756757e-02,4.817030e-01,7.136707e-03,1.978848e-01
compressed_fps10_WinterWheat1_2022-07-25-134424-0000.mat,1024,1024,73,10,2.777778e-01,3,4.601326e-03,2.777778e-02,2.391462e-14,7.184195e-03,7.196056e-01
compressed_fps10_WinterWheat1_2022-07-25-134625-0000.mat,1024,1024,86,10,2.194598e+00,28,6.131055e-03,2.194598e-01,3.397058e+01,5.210942e-03,2.220446e-16
compressed_fps10_WinterWheat1_2022-07-25-134704-0000.mat,1024,1024,135,10,3.460820e+00,28,7.696742e-04,3.476445e-01,4.908461e-02,3.079393e-03,7.404629e-02
compressed_fps10_WinterWheat1_2022-07-25-135420-0000.mat,1024,1024,133,10,5.303041e-01,1,2.800591e-02,5.303041e-02,3.025583e-01,2.908175e-02,1.522137e-01
compressed_fps10_WinterWheat1_2022-07-25-135520-0000.mat,1024,1024,199,10,5.102041e-01,1,1.476637e-01,5.102041e-02,3.294847e-01,1.523020e-01,1.718270e-01
compressed_fps10_WinterWheat1_2022-07-25-135652-0000.mat,1024,1024,217,10,2.777778e-01,25,3.766286e-02,2.777778e-02,2.170590e-01,6.702683e-02,5.364886e-01
compressed_fps10_WinterWheat1_2022-07-25-135901-0000.mat,1024,1024,109,10,3.703704e-01,30,4.705209e-02,3.703704e-02,5.728244e-01,5.776458e-02,7.602803e-01
compressed_fps10_WinterWheat1_2022-07-25-140022-0000.mat,1024,1024,143,10,4.285715e-01,25,5.333164e-02,6.149090e-02,7.204211e-01,6.105062e-02,6.543233e-01
compressed_fps10_WinterWheat1_2022-07-25-140128-0000.mat,1024,1024,312,10,5.128205e-01,25,2.933082e-02,5.128205e-02,5.795527e-01,3.350032e-02,4.743133e-01
compressed_fps10_WinterWheat1_2022-07-25-140317-0000.mat,1024,1024,415,10,3.398064e-01,25,5.190923e-03,3.398064e-02,1.715128e-01,7.220066e-03,4.492864e-01
compressed_fps10_WinterWheat1_2022-07-25-140546-0000.mat,1024,1024,675,10,5.952381e-01,25,1.414057e-01,5.952381e-02,2.331931e-01,1.715540e-01,5.477295e-01
compressed_fps10_WinterWheat1_2022-07-25-140703-0000.mat,1024,1024,722,10,9.722222e-02,25,4.319272e-02,9.722222e-03,1.152589e-01,7.203108e-02,5.741247e-01
compressed_fps10_WinterWheat1_2022-07-25-140826-0000.mat,1024,1024,493,10,1.626016e-01,17,5.292988e-02,1.626016e-02,1.493737e-01,7.974950e-02,7.064359e-01
compressed_fps10_WinterWheat1_2022-07-25-140921-0000.mat,1024,1024,415,10,1.213592e-01,17,3.129749e-02,1.213592e-02,1.062938e-01,4.858973e-02,4.711660e-01
compressed_fps10_WinterWheat1_2022-07-25-141014-0000.mat,1024,1024,340,10,1.470588e-01,19,6.188987e-02,1.470588e-02,1.283617e-01,9.530706e-02,6.999663e-01
